				
Objects observed between 1998 and Jan 2015				
by Piero Dalle Pezze				
Created on 15 March 2015				
				
				
Date	xx/xx/1998			
Time	Mar 1998 to Jan 2015			
Location	Venice, Lorenzago (IT), Newcastle, Luton Devon, Cambridge, (UK)			
Altitude (MAMSL)	10m - 880m			
Temperature (C)	-5 to +30 (wind: 0 to ~40km/h)			
Seeing (Antoniadi scale)	1 to 3			
Transparency (AAAA scale)	3 to 5			
Telescopes	Celestron Newton 114mm F8; Binoculars 15x70; Tele Vue 60 F6			
Eyepieces	Kellner 25mm, Orion Sirius 10mm, Orion Shorty 2x Barlow. TV Panoptic 24mm, Plossl 20mm, Nagler 7mm, Vixen SLV 5mm, Bresser 2x SA			
Power, Exit pupil, FOV	36.4x, 3.1mm, 1.4deg; 72.8x, 1.6mm, 0.7deg; 91x, 1.3mm, 0.57deg; 182x, 0.6mm, 0.3deg. 15x, 4mm, 4.30deg; 18x, 3.3mm, 2.73deg; 103x, 0.6mm, 0.77deg; 144x, 0.4mm, 0.35deg			
Filters				
Target	Cons	Type	Power	Notes
M1	Tau	SN Rem	36x	Crab Nebula. C114F8. Venice, IT.
M2	Aqr	Glob CL	15x	B15x70. Newcastle, UK
M 10	Oph	Glob CL	36x; 15x	C114F8; B15x70. Venice, IT; Newcastle, UK
M 11	Sct	Opn CL	15x	Wild duck cluster. B15x70. Newcastle, UK
M 12	Oph	Glob CL	15x	B15x70. Newcastle, UK
M 13	Her	Glob CL	36x; 15x, 51x	Hercules Globular Cluster. C114F8; B15x70; TV60F6. Venice, IT; Newcastle, UK
M 15	Peg	Glob CL	15x	B15x70. Newcastle, UK
M 20	Sgr	CL+Neb	36x	Trifid nebula. C114F8. Venice, IT
M 27	Vul	Pln Neb	15x	Dumbbell nebula. B15x70. Newcastle, UK
M 29	Cyg	Opn CL	15x	B15x70. Newcastle, UK
M 31	And	Galaxy	36x; 15x	Andromeda Galaxy. C114F8; B15x70; TV60F6. Venice, IT; Newcastle, UK; Luton, Devon, UK
M 32	And	Galaxy	15x	Companion to M31. B15x70. Luton, Devon, UK
M 34	Per	Opn CL	15x	B15x70; TV60F6. Newcastle, UK
M 35	Gem	Opn CL	15x, 72x	TV60F6. Newcastle, UK
M 36	Aur	Opn CL	15x, 30x	TV60F6. Newcastle, UK; Cambridge, UK
M 37	Aur	Opn CL	15x, 30x	TV60F6. Newcastle, UK; Cambridge, UK
M 38	Aur	Opn CL	15x, 30x	TV60F6. Newcastle, UK; Cambridge, UK
M 41	CMa	Opn CL	15x	TV60F6. Cambridge, UK
M 42	Ori	CL+Neb	36x; 15x, 18x, 30x, 36x, 51x, 72x	Orion nebula. C114F8; TV60F6. Newcastle, UK; Cambridge, UK
M 43	Ori	Brt Neb	36x; 15x, 18x, 30x, 36x, 51x, 72x	Detached part of Orion Nebula. C114F8; TV60F6. Newcastle, UK; Cambridge, UK
M 44	Cnc	Opn CL	15x	Beehive Cluster. B15x70; TV60F6. Newcastle, UK; Cambridge, UK
M 45	Tau	CL+Neb	36x; 15x, 51x	Pleiades. C114F8; TV60F6. Venice, IT; Newcastle, UK
M 57	Lyr	Pln Neb	37x; 15x	Ring Nebula. C114F8; B15x70. Venice, IT; Newcastle, UK
M 67	Cnc	Opn CL	15x	TV60F6. Cambridge, UK
M 81	UMa	Galaxy	15x	Bode's Galaxy. B15x70. Newcastle, UK
M 82	UMa	Galaxy	15x	Cigar Galaxy. B15x70. Newcastle, UK
M 92	Her	Glob CL	15x	B15x70. Newcastle, UK
M 110	And	Galaxy	15x	M31 Companion. B15x70. Luton, Devon, UK
C14	Per	Opn CL	15x, 51x	Double Cluster. B15x70; TV60F6. Exeter, UK; Newcastle, UK
C28	And	Opn CL	15x	B15x70. Newcastle, UK
C37	Vul	Opn CL	15x	B15x70. Newcastle, UK
C41	Tau	Opn CL	36x; 15x, 18x, 51x	Hyades. C114F8; B15x70; TV60F6. Venice, IT; Newcastle, UK
C49	Mon	Neb	15x	Rosette Nebula. TV60F6. Cambridge, UK
C50	Mon	Opn CL	15x	Satellite cluster. TV60F6. Newcastle, UK; Cambridge, UK
Stock1	Vul	Opn CL	15x	B15x60. Newcastle, UK
