				
Astronomy observation log - Current				
by Piero Dalle Pezze				
				
completed:	FALSE		TV Panoptic 24mm	15x, 4mm, 4.30deg
spelling:	UNCHECKED		TV Plossl 20mm	18x, 3.3mm, 273deg
			TV Nagler 13mm	28x, 2.2mm, 2.80deg
			TV Nagler 7mm	51x, 1.2mm, 1.54deg
			Vixen SLV 5mm	72x, 0.8mm, 0.69deg
			TV Nagler 3.5mm	103x, 0.6mm, 0.77deg
				
Date	03/06/2015			
Time	21:40-23:30			
Location	Cambridge, UK			
Altitude	12m			
Temperature	12C (wind: 0km/h)			
Seeing	1 - Perfect seeing			
Transparency	5 - Clear			
Telescopes	Tele Vue 60 F6			
Eyepieces	TV Panoptic 24mm, Nagler 3.5mm, Bresser SA 2x			
Power, EP, FOV	15x, 4mm, 4.30deg; 103x, 0.6mm, 0.77deg; 206x, 0.3mm, 0.38deg			
Filters	Single Polarising Filter			
Target	Cons	Type	Power	Notes
Jupiter	Cnc	Planet	103x +/- SPF, 206x + SPF	Just a quick look until the sky became darker. No particular event tonight. It was very nice to see it. The two main belts revealed some subtle detail appearing like tiny shades. In particular these were more detectable in the North Equatorial Belt.  
Moon	Sgr	Satellite	103x +/- SPF	Phase 96%. No many detail were revealed. The moon is not really interesting when full. Craters and seas were detectable but not immersive. 
M57	Lyr	Pln Neb	103x	Ring nebula. The ring was visible with averted vision, but no other detail really. The contrast between the ring and the internal area is much more visible with an OIII filter. Still nice planetary nebula.
Zeta	Lyr	Dbl star	15x, 103x	Already split at 15x, but much nicer at 103x. 
Delta	Lyr	Dbl star	15x, 103x	This is a very nice system of stars already visible at 15x. A larger triangle with a little internal triangle. Just beautiful.
Epsilon	Lyr	Dbl star	15x, 103x, 206x	The Double Double. Epsilon 1 and 2 were easily split at 15x. At 103x it was possible to detect that both Epsilon 1 and 2 are double stars themselves. At 206x this pair of tight double stars was visible although these double stars remained very close. Same colour.
Beta	Lyr	Dbl star	15x, 103x	Sheliak. Splendid double already split at 15x. This was very nice at 103x. 
Beta	Cyg	Dbl star	15x, 103x	Albireo. Wonderful double. A bit tight at 15x, but very nice at 103x. One orange, the other one blue.
				
				
				
Date	06/06/2015			
Time	15:00-18:00			
Location	Cambridge, UK			
Altitude	12m			
Temperature	23C (wind: 5-32km/h)			
Seeing	3 - Moderate seeing			
Transparency	5 - Clear			
Telescopes	Tele Vue 60 F6			
Eyepieces	Nagler 7mm, Vixen 5mm, Nagler 3.5mm			
Power, EP, FOV	51x, 1.2mm, 1.54deg; 72x, 0.8mm, 0.69deg; 103x, 0.6mm, 0.77deg			
Filters	Variable Polarising Filter (VPF), Single Polarising Filter (SPF)			
Target	Cons	Type	Power	Notes
